,Juegos,Año,Deporte,Atleta,Sexo,Medalla,País
0,Buenos Aires 1951,1951,Atletismo,Enrique Salazar,Masculino,Bronce,Guatemala
1,Buenos Aires 1951,1951,Atletismo,Luis Huberto Velásquez,Masculino,Bronce,Guatemala
2,Buenos Aires 1951,1951,Natación,Dolores Castillo,Femenino,Bronce,Guatemala
3,Buenos Aires 1951,1951,Fútbol,Selección Masculina,Masculino,Plata,Costa Rica
4,Ciudad de México 1955,1955,Atletismo,Luis Humberto Velásquez,Masculino,Bronce,Guatemala
5,Ciudad de México 1955,1955,Atletismo,Doroteo Guamuch Flores,Masculino,Oro,Guatemala
6,Chicago 1959,1959,Lucha,Héctor Iriarte,Masculino,Bronce,Guatemala
7,São Paulo 1963,1963,Atletismo,Teodoro Palacios Flores,Masculino,Plata,Guatemala
8,São Paulo 1963,1963,Lucha,José Azzari,Masculino,Plata,Guatemala
9,Cali 1971,1971,Tiro,Víctor Manuel Castellanos,Masculino,Oro,Guatemala
10,Ciudad de México 1975,1975,Levantamiento de Pesas,Edgar Tornetz,Masculino,Bronce,Guatemala
11,Ciudad de México 1975,1975,Boxeo,Roberto Espinoza,Masculino,Bronce,El Salvador
12,Ciudad de México 1975,1975,Boxeo,Ildefonso Nicaragua,Masculino,Bronce,Nicaragua
13,San Juan 1979,1979,Levantamiento de Pesas,Jorge Gadalamaría,Masculino,Bronce,El Salvador
14,Caracas 1983,1983,Fútbol,Selección Masculina,Masculino,Bronce,Guatemala
15,Caracas 1983,1983,Béisbol,Selección Masculina,Masculino,Plata,Nicaragua
16,Indianápolis 1987,1987,Remo,Edgar Edmundo Nanne,Masculino,Bronce,Guatemala
17,Indianápolis 1987,1987,Tenis,Daniel Chávez y Favio Sical,Masculino,Bronce,Guatemala
18,Indianápolis 1987,1987,Boxeo,José Avelar,Masculino,Bronce,El Salvador
19,Indianápolis 1987,1987,Natación,"Sylvia Poll, Marcela Cuesta, Carolina Mauri, Natasha Aguilar y Montserrat Hidalgo",Femenino,Bronce,Costa Rica
20,Indianápolis 1987,1987,Natación,"Sylvia Poll, Marcela Cuesta, Carolina Mauri, Natasha Aguilar y Montserrat Hidalgo",Femenino,Bronce,Costa Rica
21,Indianápolis 1987,1987,Patinaje,"Marco Tulio Bonilla, Francisco Brenes, Román Soto y Guillermo Mata",Masculino,Bronce,Costa Rica
22,Indianápolis 1987,1987,Tenis,Fred Thome y Kénneth Thome,Masculino,Bronce,Costa Rica
23,Indianápolis 1987,1987,Natación,Sylvia Poll,Femenino,Plata,Costa Rica
24,Indianápolis 1987,1987,Natación,Sylvia Poll,Femenino,Plata,Costa Rica
25,Indianápolis 1987,1987,Natación,"Sylvia Poll, Marcela Cuesta, Carolina Mauri, Natasha Aguilar y Montserrat Hidalgo",Femenino,Plata,Costa Rica
