,País,Medallas,Poblacion,PIB,Gini,IPC
0,Estados Unidos,293,328329953.0,65279.5290260953,41.4,69.0
1,Brasil,168,211049519.0,8897.55296585529,53.4,35.0
2,México,138,127575529.0,9950.45008048459,45.4,29.0
3,Canadá,152,37593384.0,46326.6726375572,33.3,77.0
4,Cuba,100,11333484.0,9125.8786794952,,48.0
5,Argentina,101,44938712.0,10056.637940265,42.9,45.0
6,Colombia,82,50339443.0,6424.9794924083,51.3,37.0
7,Chile,50,18952035.0,14741.7144039954,44.4,67.0
8,República Dominicana,40,10738957.0,8282.11713050921,41.9,28.0
9,Perú,41,32510462.0,7027.61220697723,41.5,36.0
10,Ecuador,32,17373657.0,6222.52465327248,45.7,38.0
11,Venezuela,43,28515829.0,16055.6453173826,44.8,16.0
12,Jamaica,19,2948277.0,5369.4983713849,45.5,43.0
13,Puerto Rico,24,3193694.0,32850.5486123592,,
14,El Salvador,4,6453550.0,4167.73093878563,38.8,34.0
15,Guatemala,19,16604026.0,4638.63494319511,48.3,26.0
16,Trinidad y Tobago,11,1394969.0,16637.1629387697,40.3,40.0
17,Paraguay,5,7044639.0,5380.9633218413,45.7,28.0
18,Bolivia,5,11513102.0,3552.06814321502,41.6,31.0
19,Granada,2,112002.0,10827.4352905074,,53.0
20,Costa Rica,5,5047561.0,12693.8279560372,48.2,56.0
21,Santa Lucía,2,182795.0,11591.0804756999,51.2,55.0
22,Barbados,1,287021.0,18148.4978451054,,62.0
23,Islas Vírgenes Británicas,1,30033.0,,,
24,Uruguay,8,3461731.0,17688.01500769,39.7,71.0
25,Antigua y Barbuda,3,97115.0,17376.6496765004,,
26,Honduras,2,9746115.0,2556.45689068459,48.2,26.0
27,Panamá,4,4246440.0,15774.2549406847,49.8,36.0
28,Nicaragua,3,6545503.0,1926.69969398276,46.2,22.0
29,Aruba,1,106310.0,30253.2793580195,,
30,Bahamas,1,389486.0,33799.4176940891,,64.0
