,Año,Oro,Plata,Bronce,Total
0,1951,0.0,0.0025,0.0074,0.9901
1,1955,0.0023,0.0,0.0023,0.9954
2,1959,0.0,0.0,0.0021,0.9979
3,1963,0.0,0.0043,0.0,0.9957
4,1967,0.0,0.0,0.0,1.0
5,1971,0.0017,0.0,0.0,0.9983
6,1975,0.0,0.0,0.0045,0.9955
7,1979,0.0,0.0,0.0013,0.9987
8,1983,0.0,0.0011,0.0011,0.9978
9,1987,0.0029,0.0039,0.0068,0.9864
10,1991,0.0009,0.0018,0.0071,0.9902
11,1995,0.0007,0.0036,0.0079,0.9878
12,1999,0.0019,0.0019,0.0028,0.9934
13,2003,0.0,0.0045,0.0118,0.9837
14,2007,0.0027,0.0055,0.01,0.9818
15,2011,0.0067,0.0033,0.005,0.985
16,2015,0.005,0.0025,0.005,0.9875
17,2019,0.0043,0.0072,0.0122,0.9763
